adult	belongs_to_collection	budget	genres	homepage	id	imdb_id	original_language	original_title	overview	popularity	poster_path	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	video	vote_average	vote_count
FALSE		0	[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]		335582	tt3874424	da	Gudsforladt	After several years in prison, Anders is finally released. His sister Mia is looking forward for them to reconnect and rediscover their close bond. However, the past is not easy to escape and the two sibling's brutal childhood still haunts them both. Anders quickly falls back into his old destructive habits, while Mia soon discovers a much more sinister side of herself and the people around her	0.159817	/vFoXsuoMEcn7dxwPxzPrbEthjLM.jpg	[{'name': 'Hellbound Productions', 'id': 49865}, {'name': 'Black Frame Cinema', 'id': 51092}]	[{'iso_3166_1': 'DK', 'name': 'Denmark'}]	5/28/2015	0	90	[{'iso_639_1': 'da', 'name': 'Dansk'}]	Released		A God Without a Universe	FALSE	4	1
FALSE	{'id': 11118, 'name': 'The Olsen Gang Collection', 'poster_path': '/ylEImURFfwPg5iCAHiZNxBMwpxs.jpg', 'backdrop_path': '/vdHRY8v847UmBlsQAOuc8k5maKd.jpg'}	0	[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]		11390	tt0067524	da	Olsen-banden i Jylland	The Olsen gang in Jutland. Ones again Egon Olsen has a plan when he gets out of Vridslose State Prison. He has found out that the Germans left a large sum of money (in American dollars and gold bars) in one of their commando bunkers, when they were defeated in 1945; the only problem it's in Jutland. Egon, Benny and Kjeld "appropriate" a car and drives to Jutland along with Kjelds wife and child Yvonne and Borge. They look forward to fooling the the people in Jutland, but of course, things don't go quite as planed. It ends with Benny, Kjeld, Borge and Yvonne sitting in the train back to Copenhagen, were they are overtaken by Egon in his car on the road next to the track. This is the last time the Olsen gang goes to Jutland.	0.730663	/1YYxpSSZtnj6MZ8qkBPRipn35Hi.jpg	[{'name': 'Nordisk Film', 'id': 235}]	[{'iso_3166_1': 'DK', 'name': 'Denmark'}]	10/8/1971	0	96	[{'iso_639_1': 'da', 'name': 'Dansk'}]	Released		The Olsen Gang in Jutland	FALSE	7.3	10
FALSE		0	[{'id': 18, 'name': 'Drama'}]		76312	tt0124002	da	Mig og Charly	Steffen is a good kid, a teenager who has recently finished school and is looking for work. He lives with his widowed mother, a newspaper reporter. Very little throws him off his stride, whether it is his girlfriend's jealousy of his friendship with Charly, a reform-school boy, or his mother's drunken, playful amorousness one night, because he reminds her of his father.	0.720125	/pXbpAHpLrQYeTynBwU4bVgG3TJ9.jpg	[{'name': 'Steen Herdel Filmproduktion ApS', 'id': 47605}]	[{'iso_3166_1': 'DK', 'name': 'Denmark'}]	3/19/1978	0	98	[{'iso_639_1': 'da', 'name': 'Dansk'}]	Released		Me and Charly	FALSE	7.4	5
FALSE		0	[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]		155714	tt0118683	da	Barbara	Young vicar Mr. Paul arrives at the Faroe Islands to take up a benefice, and meets the young Barbara, twice married to vicars, and with both husbands laid cold in the grave. Despite the warnings of the surrounding community and his own religious scruples, he falls victim to Barbara's at once innocent and sinful charm. The appearance of the charming and gallant Andreas Heide in Thorshavn puts their love to the severest of tests.	0.15112	/1YiGE194g6Rn4AnXgoS5cS0vx6b.jpg	[{'name': 'Per Holst Film', 'id': 8229}]	[{'iso_3166_1': 'DK', 'name': 'Denmark'}]	10/2/1997	0	143	[{'iso_639_1': 'da', 'name': 'Dansk'}]	Released		Barbara	FALSE	5.5	4
FALSE		0	[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]		146184	tt0208783	da	Bye Bye Blue Bird	Recalling the works of Jim Jarmusch and Wim Wenders, this Danish road movie concerns a pair of women, Rannva and Barba, who return after a seven-year absence to their native Faroes Islands, a self-governing province of Denmark near Iceland. Dressed in loud attire and speaking with big-city accents, they stand out considerably from the locals. As they travel through the islands, they meet a variety of eccentric figures and colorful characters, including their families. Bye Bye Bluebird was screened at the 1999 Haugesund Film Festival. ~ Jonathan Crow, Allrovi	0.383597	/2a6hLAOccQ1X9KXk2NiLENEPbfp.jpg	[]	[]	7/30/1999	0	97	[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'fo', 'name': ''}]	Released		Bye Bye Blue Bird	FALSE	7.3	3
FALSE		900000	[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]		80362	tt1565435	en	Odjuret	There was a double homicide on the forgotten Swedish countryside several years ago. Two angry young men beat two young women to death, seemingly without any particular reason. The years passed but the images in our heads did not disappear. We tried to forget it, wrote screenplay after screenplay, but we always came back to those murders, and to telling the story about a part of Sweden that we never read about in newspapers, and that is populated by people whose thoughts and destinies rarely reaches beyond their village.	0.371581	/yGmZz2pPtLMrQESDOT5Ps3QboOm.jpg	[]	[]	3/11/2011	0	90	[]	Released		Savage	FALSE	6	2
FALSE		0	[{'id': 18, 'name': 'Drama'}]		324284	tt3908598	en	Lamb	Lamb, based on the novel by Bonnie Nadzam, traces the self-discovery of David Lamb in the weeks following the disintegration of his marriage and the death of his father. Hoping to regain some faith in his own goodness, he turns his attention to Tommie, an awkward and unpopular eleven-year-old girl. Lamb is convinced that he can help her avoid a destiny of apathy and emptiness, and takes Tommie for a road trip from Chicago to the Rockies, planning to initiate her into the beauty of the mountain wilderness. The journey shakes them in ways neither expects.	1.252328	/908k7elpDQE9C0vOUu2cU1HqplT.jpg	[{'name': 'The Shot Clock', 'id': 72382}, {'name': 'Silent Helicopter', 'id': 72383}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	1/8/2016	0	93	[{'iso_639_1': 'en', 'name': 'English'}]	Released	Innocence walks a fine line.	Lamb	FALSE	6.8	21
FALSE		3500000	[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]		391617	tt5462400	es	CapitÃ¡n KÃ³blic	TomÃ¡s KÃ³blic, a former pilot and captain of the Argentinian Navy, disobeys an order and becomes a fugitive in order to survive. He chooses to hide in a small town in the south of the country, where his presence will catch the attention of the unscrupulous and violent local marshal.	0.93037	/dROT0Po9zmGoyNZMRlUjvWbhlAV.jpg	[{'name': 'Instituto Nacional de Cine y Artes Audiovisuales (INCAA)', 'id': 6458}, {'name': 'TelevisiÃ³n Federal (Telefe)', 'id': 21915}, {'name': 'Pampa Films', 'id': 34259}, {'name': 'Gloriamundi Producciones', 'id': 58393}, {'name': 'Antena 3', 'id': 85696}]	[{'iso_3166_1': 'AR', 'name': 'Argentina'}]	4/14/2016	0	92	[{'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]	Released		KÃ³blic	FALSE	6.3	15
FALSE		0	[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]		37433	tt0185481	ja	è¿·å®®ç‰©èªž	Three shorts directed by the same names that brought you Metropolis, Ninja Scroll, and Akira. It begins with â€œLabyrinth Labyrintosâ€, a story of a maze in a child's mind, directed by Rintaro. Next Yoshiaki Kawajiri gives us â€œThe Running Manâ€. This is a futuristic formula one race is set on a deadly track. Lastly Katsuhiro Ã”tomo describes a struggle to shut down an entirely automated facility in â€œConstruction Cancellation Orderâ€œ.	3.143612	/iJvaTvu9baGW6QghNaKgAV9I2Rb.jpg	[{'name': 'Madhouse', 'id': 4288}, {'name': 'Kadokawa Haruki Jimusho', 'id': 4749}, {'name': 'Kadokawa Shoten Publishing Co.', 'id': 9068}, {'name': 'Project Team Argos', 'id': 29962}]	[{'iso_3166_1': 'JP', 'name': 'Japan'}]	4/15/1989	0	50	[{'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}]	Released	Manie-Manie	Neo Tokyo	FALSE	6.6	12
FALSE		0	[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]		47408	tt0423034	ja	ä¹±æ­©åœ°ç„	Mars Canal - Within absolute silence, a naked man wanders through a dark and depressing landscape recalling the excruciating details of his last encounter with his former lover. Mirror Hell - When a series of women are discovered with their faces burnt and skulls charred, a young detective investigates, discovering that a unique hand mirror is always found at the scene. Caterpillar - A war hero returns home with no limbs and only his eyesight remaining. His beautiful wife, tired of taking care of him, turns to torturing her crippled husband for amusement. Crawling Bugs - A sexy actress is returning home from a successful night on stage, until her limo driver decides that she should be coming home with him.	1.125509	/8QhXaMvtGVOlNXQmX5s5Ux9RCga.jpg	[]	[{'iso_3166_1': 'JP', 'name': 'Japan'}]	5/11/2005	0	134	[{'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}]	Released		Rampo Noir	FALSE	5.6	8
