adult	belongs_to_collection	budget	genres	homepage	id	imdb_id	original_language	original_title	overview	popularity	poster_path	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	video	vote_average	vote_count
FALSE	{'id': 379475, 'name': 'Batman Beyond Collection', 'poster_path': None, 'backdrop_path': '/vGELVBakzTMT6rfJ3Rvyftnnjyy.jpg'}	0	[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]		64202	tt0231237	en	Batman Beyond: The Movie	Fueled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh futuristic Gotham.	2.363167	/fQP9Oz15Ts5f0RaruqKjAEs0LUs.jpg	[{'name': 'DC Comics', 'id': 429}, {'name': 'Warner Bros. Family Entertainment', 'id': 3592}]	[]	1/10/1999	0	132	[{'iso_639_1': 'en', 'name': 'English'}]	Released	A New Hero, For A New Era	Batman Beyond: The Movie	FALSE	7.2	41
FALSE		0	[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]		461088	tt5689610	fa	?æ?ø ???????? ?›??????????	When the corrupted groom starts shooting in the wedding ceremony, guests try to run away. Aida and Davoud accidentally end up in a car that crashes a police car. Aida lies to the inspector that Davoud is her husband and that's where the story begins.	0.034119	/1Z7EKbHjny8KhfDKx6sQBlXMT9s.jpg	[]	[{'iso_3166_1': 'IR', 'name': 'Iran'}]	3/22/2016	0	89	[{'iso_639_1': 'fa', 'name': '????ñ????'}]	Released		50 Kilos of Sour Cherry	TRUE	0	0
FALSE		0	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]		58462	tt0388213	en	Loverboy	A neglected daughter becomes a possessive mother in an emotional journey into the heart and mind of a woman who loved too much.	2.45181	/bCVWaSkhk8bZk9zwOSYgOo5IFDW.jpg	[{'name': 'Bigel / Mailer Films', 'id': 11952}, {'name': 'Millennium Films', 'id': 13813}, {'name': 'Mixed Breed Films', 'id': 65453}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	1/24/2005	0	84	[{'iso_639_1': 'en', 'name': 'English'}]	Released	Some mothers aren't meant to be moms.	Loverboy	FALSE	4.5	12
FALSE		0	[{'id': 18, 'name': 'Drama'}]		20502	tt0404552	es	Yo puta	An anthropology student exploring the nature of prostitution is drawn deeper into that profession than she ever expected.	2.011938	/uIqjHDnZWTk07AlE8QeW8LAtAxC.jpg	[{'name': 'Dolores Pictures S.L.', 'id': 3787}]	[{'iso_3166_1': 'ES', 'name': 'Spain'}]	4/16/2004	0	87	[{'iso_639_1': 'bg', 'name': '?ñ¥??¯???ø¥?¥?§?? ?æ?ú???§'}, {'iso_639_1': 'cs', 'name': 'Ž?esk?«'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Fran??ais'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'ja', 'name': '‘?‘?ªŠ¦?'}, {'iso_639_1': 'lt', 'name': 'Lietuvi\x9akai'}, {'iso_639_1': 'pl', 'name': 'Polski'}, {'iso_639_1': 'es', 'name': 'Espa?ñol'}]	Released	What's your pleasure?	The Life	FALSE	3.7	8
FALSE		0	[{'id': 18, 'name': 'Drama'}]		3178	tt0211941	en	Beat	The story of writer William Seward Burroughs and his wife.	0.758451	/jpaEMQ3xY97Hm0OF4zNpV4BfsR.jpg	[{'name': 'Martien Holdings A.V.V.', 'id': 9077}, {'name': 'Walking Pictures', 'id': 28756}, {'name': 'Background Productions', 'id': 28757}, {'name': 'Beat LLC', 'id': 28758}, {'name': 'Millenium Pictures', 'id': 28759}, {'name': 'Pendragon Film', 'id': 28760}, {'name': 'Pfilmco', 'id': 28761}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	1/29/2000	0	93	[{'iso_639_1': 'en', 'name': 'English'}]	Released	Sex and Drugs before Rock and Roll	Beat	FALSE	4.9	9
FALSE		0	[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]		45877	tt0323571	en	Nemesis Game	Sara Novak is an introverted college student with a few skeletons in her closet. Shying away from classmates, she prefers to spend time with Vern, an older comic store owner who shares her passion for mind games and riddles. But when the riddles she solves lead to the deaths of those around her, she realizes the riddles are more than a simple game.....	1.13964	/vftpsSgzfqC3pgyDp2Gq1OL0ml.jpg	[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Studio Eight Productions', 'id': 4794}, {'name': 'Emily Gray Productions Ltd.', 'id': 62282}, {'name': 'Paper Pictures Inc.', 'id': 62283}, {'name': 'Scissors Stone Productions Ltd.', 'id': 62284}]	[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'NZ', 'name': 'New Zealand'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]	1/1/2003	0	92	[{'iso_639_1': 'en', 'name': 'English'}]	Released	The only thing more terrifying then playing it...is winning	Nemesis Game	FALSE	4.8	15
FALSE		0	[{'id': 18, 'name': 'Drama'}]		412204	tt5705058	fr	Marie Curie	The most turbulent five years in the life of a genius woman: Between 1905, where Marie Curie comes with Pierre Curie to Stockholm to be awarded the Nobel Prize for the discovery of the radioactivity, and 1911, where she receives her second Nobel Prize, after challenging France's male-dominated academic establishment both as a scientist and a woman.	1.556748	/wA2IsvqX3VoLF6rymPWk95gaBXB.jpg	[]	[{'iso_3166_1': 'PL', 'name': 'Poland'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'FR', 'name': 'France'}]	12/1/2016	0	95	[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Fran??ais'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'pl', 'name': 'Polski'}]	Released		Marie Curie	FALSE	5.8	5
FALSE		0	[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]		59423	tt0448621	ko	‰???¡??	20-years-old Cho-Won (Cho Seung-Woo) is young man with autism. He lives with his highly protective mother Kyung-Sook (Kim Mi-Sook) and younger brother (Baek Sung-Hyun), who sometimes resents the attention his older brother receives from his mother. Through special schooling and taking part in physical activities, Cho-Won has adjusted relatively well into society. Cho-Won also seems to have a knack for running. After placing third in a race, his mother decides to hire a proper coach to train her son. Cho-Won then decides to take part in a marathon. Cho-Won hopes to break the marathon's fastest record of three hours.	0.464192	/j6D26FsQn4JD96rUucfokLGzhh8.jpg	[{'name': 'Cineline', 'id': 94912}]	[{'iso_3166_1': 'KR', 'name': 'South Korea'}]	1/27/2005	0	117	[{'iso_639_1': 'ko', 'name': '¡??ˆæ???/­ø?ÿ‰?'}]	Released		Marathon	FALSE	7	10
FALSE		0	[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]		353713	tt0039653	es	La nao Capitana		0.001901	/qwIAlZ8ODd1PWWDzUMKn5sqSC9I.jpg	[{'name': 'Suevia Films - Ces?­reo Gonz?­lez', 'id': 16067}]	[{'iso_3166_1': 'ES', 'name': 'Spain'}]	9/29/1947	0		[{'iso_639_1': 'es', 'name': 'Espa?ñol'}]	Released		La nao Capitana	FALSE	0	0
FALSE		50000	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]		51946	tt1274717	en	Bittersweet	Bittersweet explores the evolution of love and takes a long hard look at the underlying forces that often bring people together while just as often break them apart.	0.354576	/iott3rKQNJJES73lX2ygo3lwabI.jpg	[]	[]	7/23/2008	0	75	[{'iso_639_1': 'en', 'name': 'English'}]	Released	An evolution in love	Bittersweet	FALSE	5	1
