adult	belongs_to_collection	budget	genres	homepage	id	imdb_id	original_language	original_title	overview	popularity	poster_path	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	video	vote_average	vote_count
FALSE		0	[{'id': 18, 'name': 'Drama'}]		124633	tt0114494	sr	TuÄ‘a Amerika	This tale takes place in a bar. The Spanish Alonso and his blind mother run this place. Bay, who is Alonso's friend live here too. This story tells something about Alonso and Bay and the "American Dream".	0.099602	/t1L4Bd3Sm6xod39cPJKZLkt9t00.jpg	[{'name': 'MACT Productions', 'id': 393}, {'name': 'Canal+', 'id': 5358}, {'name': 'Stefi 2', 'id': 5983}, {'name': 'Lichtblick Film- und Fernsehproduktion (I)', 'id': 16975}, {'name': 'Magnolia Mae Films', 'id': 18188}, {'name': 'European Co-production Fund', 'id': 30226}, {'name': 'Intrinsica Films', 'id': 86296}]	[{'iso_3166_1': 'RS', 'name': 'Serbia'}, {'iso_3166_1': 'GR', 'name': 'Greece'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]	9/9/1995	0	96	[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sr', 'name': 'Srpski'}]	Released	Two friends, two worlds, one dream.	Someone Else's America	FALSE	0	0
FALSE		0	[{'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]		202425	tt0094265	fr	La vie est belle	A young man with dreams of pursuing a career in music moves form his small village to  the capital. Along the way he falls head over heels for a woman - the same woman his boss is also pursuing for his own reasons.	0.514363	/kSCZlF0kR8D8Br7xiAb8mKzPhpz.jpg	[{'name': 'StÃ©phan Films', 'id': 2359}, {'name': "Centre du CinÃ©ma et de l'Audiovisuel de la FÃ©dÃ©ration Wallonie-Bruxelles", 'id': 11796}, {'name': "Sol'oeil Films", 'id': 43860}, {'name': 'Lamy Films', 'id': 66451}, {'name': 'MinistÃ¨re des Affaires Ã©trangÃ¨res et du DÃ©veloppement International', 'id': 72598}]	[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'CD', 'name': 'Congo'}, {'iso_3166_1': 'FR', 'name': 'France'}]	11/17/1987	0	80	[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]	Released		Life is Rosy	FALSE	6.5	2
FALSE		0	[]		196940	tt0105201	en	Quartier Mozart	The boisterous and cheerful lives of the residents of Cameroon are barely dented by incursions of supernatural power in this humor-filled rendition of traditional folk tales in modern guise. In the story, a cheerfully naughty girl crosses paths with a witch who has the power to satisfy her curiosity about men by changing her into a young man. She then becomes one of the boy suitors for the amorous attentions of a policeman's daughter. Some of the men have unusual names and even odder magical gifts: one of them has the ability to make a man's genitals disappear when he shakes hands with him.	0.011938	/pYMtgdgtPu2sxePjmeMeSMqNXxz.jpg	[]	[]	5/26/1992	0	80	[]	Released		Quartier Mozart	FALSE	5	1
FALSE	{'id': 303969, 'name': 'Martin Scorseseâ€™s World Cinema Project, Vol. 1', 'poster_path': '/nbR7Hniq5qzkF2ma0VkDXQCUTd5.jpg', 'backdrop_path': None}	0	[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]	http://worldcinemafoundation.org/films/touki-bouki	77771	tt0070820	wo	Touki-Bouki	A cowherd with a skull-mounted motorcycle and a university student meet in Dakar; put off by life in Senegal, they plan to make money in Paris.	0.043903	/che94e6wSm9TWLunhsHgHfNiqTu.jpg	[{'name': 'Studio Kankourama', 'id': 72471}, {'name': 'Cinegrit', 'id': 72472}]	[{'iso_3166_1': 'SN', 'name': 'Senegal'}]	7/1/1973	0	85	[{'iso_639_1': 'ar', 'name': 'Ø§Ù„Ø¹Ø±Ø¨ÙŠØ©'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'wo', 'name': 'Wolof'}]	Released	The Journey of the Hyena	Touki Bouki	FALSE	7.3	10
FALSE		0	[{'id': 18, 'name': 'Drama'}]		181083	tt0084898	fr	Wend Kuuni	In pre-colonial times a peddler crossing the savanna discovers a child lying unconscious in the bush. When the boy comes to, he is mute and cannot explain who he is. The peddler leaves him with a family in the nearest village. After a search for his parents, the family adopts him, giving him the name Wend Kuuni (God's Gift) and a loving sister with whom he bonds. Wend Kuuni regains his speech only after witnessing a tragic event that prompts him to reveal his own painful history.	0.049573	/7t0xjFUqy4T9gcM9lKYle8tTIq3.jpg	[{'name': 'Direction du Cinema Haute Volta', 'id': 72469}]	[{'iso_3166_1': 'BF', 'name': 'Burkina Faso'}]	1/1/1982	0	75	[{'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]	Released		God's Gift	FALSE	5	1
FALSE		0	[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]		41225	tt0063715	fr	Histoires extraordinaires	Three directors each adapt a Poe short story to the screen: "Toby Dammit" features a disheveled drugged and drunk English movie star who nods acceptance in the Italian press and his producers fawn over him. "Metzengerstein" features a Mediveal countess who has a love-hate relationship with a black stallion - who it turns out is really her dead lover. "William Wilson" tells the story of a sadistic Austrian student with an exact double whom he later kills.	1.794298	/5MNAZwkYpSuEjBjOFBw9xeFFgKG.jpg	[{'name': 'Cocinor', 'id': 512}, {'name': 'Les Films Marceau', 'id': 2260}, {'name': 'Produzioni Europee Associati (PEA)', 'id': 7508}, {'name': 'PEA', 'id': 73349}]	[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]	5/16/1968	0	121	[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]	Released	The ultimate orgy of evil	Spirits of the Dead	FALSE	5.5	24
FALSE		0	[]		188589	tt0109191	en	Babyfever	Gena is an average woman who is torn between her current boyfriend's desire to marry her and start a family, and the unexpected arrival of an old boyfriend wanting to pick up where they left off. To further complicate matters, she might be pregnant herself. In the mist of this unsettled personal life, Gena leaves her two men to attend a baby shower party for a girl friend and talks with the various female attendees all of whom are facing their own ticking biological clocks.	0.001687	/5vttlENVYQSKdLYDxuOcAWKb6uc.jpg	[]	[]	5/4/1994	0	109	[]	Released	For those who hear their clock ticking...	Babyfever	FALSE	0	0
FALSE		50	[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]		87190	tt0114122	en	Pharaoh's  Army	Union soldiers in search of food descend on the farm of a Confederate family and decide to stay until one in their ranks' wounds have healed. While the war weary Union captain (Chris Cooper) falls for the mother of the family (Patricia Clarkson) - whose husband is off fighting for the rebels - her son plots revenge on the dirty, double-dealing Yankees. Co-stars Kris Kristofferson.	0.837911	/g0OKf2qetnEJ9vuvLLHnD6skfbn.jpg	[{'name': 'Independent Television Service', 'id': 1152}, {'name': 'Cicada Films', 'id': 21072}, {'name': 'Kentucky Educational Television', 'id': 21073}, {'name': 'NEA', 'id': 21074}, {'name': 'Sinkhole Productions Inc.', 'id': 21075}, {'name': 'TMF Metro', 'id': 21076}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	1/1/1995	0	90	[{'iso_639_1': 'en', 'name': 'English'}]	Released		Pharaoh's  Army	FALSE	6.3	5
FALSE	{'id': 424202, 'name': 'Trainspotting Collection', 'poster_path': '/6W9nyZ3Daq4zHkfTRIzNgWg6ai6.jpg', 'backdrop_path': '/rIrAfUd5wjkGoDkecNx1aXjGJLu.jpg'}	4000000	[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]	http://www.miramax.com/movie/trainspotting/	627	tt0117951	en	Trainspotting	Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.	19.348466	/p1O3eFsdb0GEIYu87xlwV7P4jM1.jpg	[{'name': 'Miramax Films', 'id': 14}, {'name': 'Channel Four Films', 'id': 181}, {'name': 'Noel Gay Motion Picture Company', 'id': 358}, {'name': 'Figment Films', 'id': 359}, {'name': 'Film4', 'id': 9349}]	[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]	2/23/1996	16491080	93	[{'iso_639_1': 'en', 'name': 'English'}]	Released	Choose life.	Trainspotting	FALSE	7.8	2737
FALSE		1000000	[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]		32872	tt0118523	en	Til There Was You	Two strangers, whose paths are always crossing, finally meet when fate steps in. It took them twenty years to fall in love at first sight.	2.700061	/6wL2SZlH9P7ZEKO9I101fu8vhRb.jpg	[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lakeshore Entertainment', 'id': 126}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	5/30/1997	0	113	[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]	Released		Til There Was You	FALSE	3.9	4
