adult	belongs_to_collection	budget	genres	homepage	id	imdb_id	original_language	original_title	overview	popularity	poster_path	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	video	vote_average	vote_count
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]		141267	tt2279786	sv	Johan Falk: Kodnamn Lisa	Five men break into Frank Wagner's apartment. Frank is able to escape and seeks out the help of Johan Falk. Has someone leaked that Frank is working with the police? Frank and John do not know who knows what and who they can trust.	1.107204	/moWsHkIwsnpFtoT1kORa9rWNyKh.jpg	[{'name': 'Nordisk Film', 'id': 235}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	3/15/2013	0	106	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: Kodnamn Lisa	FALSE	6.8	10
FALSE		8820000	[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]	http://www.wellgousa.com/theatrical/train-to-busan	396535	tt5700672	ko	ë¶€ì‚°í–‰	Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survivalâ€¦	22.685169	/qWOkfCgioLEf3Km9OWva93RYWAc.jpg	[{'name': 'NEW', 'id': 20064}]	[{'iso_3166_1': 'KR', 'name': 'South Korea'}]	7/20/2016	2129768	118	[{'iso_639_1': 'ko', 'name': 'í•œêµ­ì–´/ì¡°ì„ ë§'}]	Released	Life-or-death survival begins	Train to Busan	FALSE	7.7	984
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]		138115	tt2279838	en	Johan Falk: Organizatsija Karayan	Johan Falk's stepdaughter Nina has gotten in contact with her biological father, Orjan, discovering that he is in debt to an Estonian construction company in Gothenburg, leading to Nina's kidnapping.	1.578264	/tB4uyB1rCb8WoFsYWp57QB8kJl8.jpg	[{'name': 'Nordisk Film', 'id': 235}, {'name': 'Strix Drama AB', 'id': 10910}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	11/6/2012	0	97	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: Organizatsija Karayan	FALSE	6.5	10
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]		138118	tt2238660	en	Johan Falk: BarninfiltratÃ¶ren	A group of young robbers, specializing in robbing shopping center security guards, are raging through out Gothenburg. A robbery goes awry when an innocent passerby is killed. Ricky, the gang's young leader, tries to quickly find an expert who can clean the money of the dye pack that exploded while Johan Falk, and his colleagues at GSI, accelerate their hunt.	1.425992	/bqh6c0gJn88kJwdsUBsuJPA013g.jpg	[{'name': 'Nordisk Film', 'id': 235}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	11/21/2012	0	93	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: BarninfiltratÃ¶ren	FALSE	6	8
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]		136071	tt2239108	sv	Johan Falk: Alla rÃ¥ns moder	GSI second in command, Sophie Nordh, flips gangster leader Seth Rydell and convinces him to infiltrate a rogue military group. For the first time GSI Chief Patrick Agrell realizes that he is using a ruthless psychopath as an infiltrator. Can Seth be trusted or does he have his own agenda?	0.5288	/zU3FskIvCc1LOWSGuL7EmZU1VZN.jpg	[{'name': 'Nordisk Film', 'id': 235}, {'name': 'Strix Drama AB', 'id': 10910}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	10/24/2012	0	97	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: Alla rÃ¥ns moder	FALSE	6.3	6
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]		133879	tt2239100	sv	Johan Falk: Spelets regler	It's been two years since John Falk and Frank Wagner broke their cooperation and Frank started working undercover with the police. Frank's search for Kevin crosses Johan's investigation and opens up a new collaboration between them - with the big difference being that this time it's personal for Frank.	0.929547	/nGamRMrfktfPmhYxMweFutuSkDm.jpg	[{'name': 'Nordisk Film', 'id': 235}, {'name': 'Strix Drama AB', 'id': 10910}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	9/25/2012	0	99	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: Spelets regler	FALSE	6.7	10
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]		24024	tt1521870	en	Johan Falk: Leo Gaut	A car explodes outside a primary school where GSI's Chief Patrick Agrell has just left his children.The event reconnects Johan Falk to Leo Gaut, a former criminal restaurant owner Johan put behind bars a decade ago.	2.295717	/pBBGiJ5n75TDUviyzwBAKMg26s0.jpg	[{'name': 'Nordisk Film', 'id': 235}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	10/7/2009	0	92	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		Johan Falk: Leo Gaut	FALSE	6.4	9
FALSE	{'id': 24717, 'name': 'Johan Falk GSI Collection', 'poster_path': '/7ePcKBHb0GAYugtOlU9QhRVLzNb.jpg', 'backdrop_path': '/1k71fktd6XL4b5sk0YH9yA8TwMX.jpg'}	0	[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]		24025	tt1493813	sv	Johan Falk: National Target	Frank Wagner goes deeper undercover to infiltrate Europe's most dangerous Mafia, the Russian-est, consisting of ex - KGB officers.	0.88647	/kRs8d5OsjxgRHkqREVd3SCwKeoq.jpg	[{'name': 'Nordisk Film', 'id': 235}, {'name': 'Strix Drama AB', 'id': 10910}]	[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]	10/6/2009	0	95	[{'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'en', 'name': 'English'}]	Released		Johan Falk: National Target	FALSE	6.7	7
FALSE	{'id': 245326, 'name': 'The FjÃ¤llbacka Murders', 'poster_path': '/q2ldSCwmdEUpfW4y4HuLpIhauV3.jpg', 'backdrop_path': '/hGhTAKFSQfoT4kdpj031SDWdN6k.jpg'}	0	[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]		229007	tt1895318	sv	FjÃ¤llbackamorden 02 - Havet ger, Havet tar	When Erica finds FjÃ¤llbacka's photographer Stigge murdered in his studio, she can't help but take interest in the investigation regarding his death. Patrik and his colleagues at the FjÃ¤llbacka police soon starts to question whether or not Stigge was the sweet old man he seemed to be. Erica is already ahead of them - since her mother-in-law Kristina has confided in her that she is one among many in the neighborhood that Stigge blackmailed... In "The sea gives, the sea takes" we go back to the 1960s to tell the story of how true love corrupted young Stigge and made him cover up a murder with the purpose to win the love of his life.	1.657725	/oqoQgnrIUnHqSwi35PClpT1dHmv.jpg	[{'name': 'Tre VÃ¤nner Produktion AB', 'id': 11792}]	[{'iso_3166_1': 'SE', 'name': 'Sweden'}]	9/22/2013	0	90	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		The FjÃ¤llbacka Murders: The Sea Gives, the Sea Takes	FALSE	5.8	6
FALSE	{'id': 245326, 'name': 'The FjÃ¤llbacka Murders', 'poster_path': '/q2ldSCwmdEUpfW4y4HuLpIhauV3.jpg', 'backdrop_path': '/hGhTAKFSQfoT4kdpj031SDWdN6k.jpg'}	0	[{'id': 80, 'name': 'Crime'}]		389614	tt2216856	sv	THE HIDDEN CHILD	Erica's parents are killed in a traffic accident. She moves to FjÃ¤llbacka and discovers she has a brother.	1.138013	/kSHE5dST6LBI6SxXSZFLoBpa9L4.jpg	[]	[{'iso_3166_1': 'EE', 'name': 'Estonia'}, {'iso_3166_1': 'SE', 'name': 'Sweden'}]	6/28/2013	0	105	[{'iso_639_1': 'sv', 'name': 'svenska'}]	Released		The Hidden Child	FALSE	6.6	8
