adult	belongs_to_collection	budget	genres	homepage	id	imdb_id	original_language	original_title	overview	popularity	poster_path	production_companies	production_countries	release_date	revenue	runtime	spoken_languages	status	tagline	title	video	vote_average	vote_count
FALSE	{'id': 479319, 'name': 'George Carlin Comedy Collection', 'poster_path': None, 'backdrop_path': None}	0	[{'id': 35, 'name': 'Comedy'}, {'id': 99, 'name': 'Documentary'}, {'id': 10770, 'name': 'TV Movie'}]	http://www.georgecarlin.com	20679	tt0287460	en	George Carlin: Complaints & Grievances	George Carlin performs a hilarious set of never-before released material in "Complaints and Grievances." His 12th HBO special was recorded live at the Beacon Theater in New York City on November 17, 2001. In "Complaints and Grievances," Carlin shamelessly exposes the people and subjects that irritate him the most.	1.03164	/19bZGHS2boLZviwijmuDHI9ID3v.jpg	[{'name': 'Cable Stuff Productions', 'id': 2789}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	11/17/2001	0	56	[{'iso_639_1': 'en', 'name': 'English'}]	Released		George Carlin: Complaints & Grievances	FALSE	7.8	19
FALSE		0	[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}]		412467	tt5050200	en	Beyond Valkyrie: Dawn of the 4th Reich	An intense thriller from the frontlines of World War II. As Operation Valkyrie prepares to assassinate Adolph Hitler, an Allied special ops team prepares to extract the man destined to lead post-war Germany. But after Valkyrie fails, everything changes. Now, unlikely allies must work together to stop a group of Nazi Officers from fleeing to Argentina and establishing the Fourth Reich.	3.401682	/3kA2xRwzk3IEhghIOpswRKzuhx9.jpg	[]	[]	10/3/2016	0	100	[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]	Released		Beyond Valkyrie: Dawn of the Fourth Reich	FALSE	4.7	14
FALSE		0	[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]		382906	tt5070130	es	Rara	Since their parents split up, Sara and her younger sister live with their mother, whose new partner is a woman. Everyday life for the four of them is hardly any different than it is for other families. But not everyone sees it that way â€“ Sara's father in particular has his doubts. As Saraâ€™s 13th birthday approaches, she feels rather overwhelmed: her first crush, a body in the midst of changes and to top it off, conflicts over loyalty with her parents.	0.64499	/vwqVsNVwvjyPMmIYWho0WMXygML.jpg	[]	[{'iso_3166_1': 'AR', 'name': 'Argentina'}, {'iso_3166_1': 'CL', 'name': 'Chile'}]	2/13/2016	0	88	[{'iso_639_1': 'es', 'name': 'EspaÃ±ol'}]	Released		Rara	FALSE	7	8
FALSE		15000000	[{'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]		167449	tt1847713	cn	Xue di zi	During the Manchurian-ruled Qing Dynasty, Emperor Yong Zheng established a secret assassination squad known as the Guillotines to eliminate all who opposed him. Once heavily favored by the Emperor, the Guillotines are deemed expendable once Emperor Qian Long ascends to the throne and adopts Western ideas and technology. To consolidate his power under a new regime, the Emperor continues to use the Guillotines to persecute the conquered Han Chinese in a reign of terror and oppression. Written by Anynomous	2.080781	/ouQ73eC788hGi2OAlAy2TV8Up7B.jpg	[{'name': 'Media Asia Films', 'id': 5552}, {'name': 'Stellar Mega Films', 'id': 6838}, {'name': 'We Pictures', 'id': 7909}, {'name': 'Polyface Entertainment', 'id': 27208}]	[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'HK', 'name': 'Hong Kong'}]	12/20/2012	5290	113	[{'iso_639_1': 'cn', 'name': 'å¹¿å·žè¯ / å»£å·žè©±'}]	Released		The Guillotines	FALSE	5.4	27
FALSE		0	[{'id': 99, 'name': 'Documentary'}]	http://www.packedinatrunk.com/	347702	tt4093410	en	Packed In A Trunk: The Lost Art of Edith Lake Wilkinson	The story of artist Edith Lake Wilkinson, a painter who was committed to an asylum in 1924 and never heard from again. All her worldly possessions were packed into trunks and shipped to a relative in West Virginia where they sat in an attic for 40 years. Edith's great-niece, Emmy Award winning writer and director Jane Anderson, grew up surrounded by Edith's paintings, thanks to her mother who had gone poking through that dusty attic and rescued Edith's work. The film follows Jane in her decades-long journey to find the answers to the mystery of Edith's buried life, return the work to Provincetown and have Edith's contributions recognized by the larger art world.	0.054776	/t0LeGH3EQW3c847Yo1iFQcnRblL.jpg	[]	[]	7/20/2015	0	77	[{'iso_639_1': 'en', 'name': 'English'}]	Released	A Kindred Spirit's Legacy, Reclaimed	Packed In A Trunk: The Lost Art of Edith Lake Wilkinson	FALSE	0	0
FALSE		0	[{'id': 18, 'name': 'Drama'}]		287790	tt0050160	en	Bailout at 43,000	An Air Force major feels a volatile mixture of relief and anger when he is excused from performing a dangerous test in a new aircraft.	0.590307	/sTFYwJyMKQMzoRrOxu70Ruzj9xj.jpg	[{'name': 'Pine-Thomas Productions', 'id': 4933}]	[{'iso_3166_1': 'US', 'name': 'United States of America'}]	5/1/1957	0	78	[{'iso_639_1': 'en', 'name': 'English'}]	Released	They live fast... fly fast... and fall fast	Bailout at 43,000	FALSE	0	0
FALSE		0	[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]		326253	tt2788228	nl	Trouw met mij	She is a quick-tempered and feisty Turkish woman; he, a shy and reticent, young Flemish man. Their respective families hold strong â€“ perhaps too strong â€“ opinions on the imminent marriage, and, on the big day, chaos ensues, making the young couple question their own readiness to commit to a union for life. Are their backgrounds really so different to tear them apart?	0.109654	/t513qYCqYoZYwvLwqjBtbj9aJoh.jpg	[]	[]	1/28/2015	0	94	[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'tr', 'name': 'TÃ¼rkÃ§e'}]	Released		Marry Me	FALSE	6	2
FALSE		0	[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]		49577	tt0875122	ru	Ð¡Ð²Ð¾Ð±Ð¾Ð´Ð½Ð¾Ðµ Ð¿Ð»Ð°Ð²Ð°Ð½Ð¸Ðµ	"Free Floating" is a melodrama with elements of comedy about a young lad from an ordinary provincial town like many in Russia, with just one kindergarten, one school, one factory. As a result, one grows up here never facing the alternative as to what to choose, for everything is preordained. Leonid is an ordinary lad who, like his peers, goes to discos, dances with girls and picks fights with the local riff-raff later. Everything is going well for him, as his life is totally predictable. But one day the factory closes down and he becomes disoriented. For the first time ever, he is to make a choice on his own and think seriously about what he would like to do...	0.144899	/plArVOCnPKI1sTyW90V5yrINBqy.jpg	[{'name': 'Koktebel Film Company', 'id': 7157}]	[{'iso_3166_1': 'RU', 'name': 'Russia'}]	6/10/2006	0	101	[{'iso_639_1': 'ru', 'name': 'PÑƒÑÑÐºÐ¸Ð¹'}]	Released		Free Floating	FALSE	4.5	4
FALSE		21500000	[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]		195590	tt2126235	en	Collide	An American backpacker gets involved with a ring of drug smugglers as their driver, and winds up on the run from his employers across Munich's autobahns.	31.314013	/7WqR10HKafhzE9LXEYg0AtM4J6O.jpg	[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Automatik Entertainment', 'id': 7625}, {'name': 'DMG Entertainment', 'id': 10289}, {'name': 'Hands-on Producers', 'id': 56832}, {'name': '42', 'id': 84988}]	[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]	8/4/2016	4811525	98	[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]	Released		Collide	FALSE	5.5	164
FALSE		0	[{'id': 99, 'name': 'Documentary'}]	http://www.gamessound.com/	338679	tt5371622	en	Beep: A Documentary History of Game Sound	A documentary of game sound from the Victorian arcades through to today, with a special focus on video game sound, but also including mechanical games and pinball. Beep is a feature film, but also a series of webisodes and DVD extras, a book, and a collection of resources found on the Beep website.	0.115946	/px6yUISNKaPRWXt2eaavEW2zq51.jpg	[]	[]	4/4/2016	0	115	[]	Released		Beep: A Documentary History of Game Sound	FALSE	4.5	2
